name,high school,town,state,weight class,placement,year
Richard Figueroa,Selma High School,Selma,California,125,1,2017
Drake Ayala,Fort Dodge Senior High,Fort Dodge,Iowa,125,2,2017
Anthony Noto,Honeoye Falls-Lima High School,Lima,New York,125,3,2017
Eric Barnett,Hortonville High School,Hortonville,Wisconsin,125,4,2017
Luke Stanich,Roxbury High School,Roxbury,New Jersey,125,5,2017
Caleb Smith,Great Bridge High School,Chesapeake,Virginia,125,6,2017
Jore Volk,Lakeville North High School,Lakevillie,Minnesota,125,7,2017
Tanner Jordan,Campbell County High School,Gillette,Wyoming,125,8,2017
Vito Arujau,Syosset High School,Syosset,New York,133,1,2017
Daton Fix,Charles Page High School,Sand Springs,Oklahoma,133,2,2017
Ryan Crookham,Saucon Valley,Hellertown,Pennsylvania,133,3,2017
Nasir Bailey,Rich Township High School,Park Forest,Illinios,133,4,2017
Dylan Ragusin,Montini Catholic High School,Elk Grove Village,Illinios,133,5,2017
Evan Frost,Dowling Catholic High School,Metairie,Louisiana,133,6,2017
Dylan Shawver,Elyria High School,Lorain,Ohio,133,7,2017
Kai Orine,Seckman High School,Imperial,Missouri,133,8,2017
Jesse Mendez,Crown Point High School,Crown Point,Indiana,144,1,2017
Beau Barlett,Wyoming Seminary High School,Kingston,Pennsylvania,144,2,2017
Brock Hardy,Box Elder High School,Brigham City,Utah,144,3,2017
Real Woods,Montini Catholic,Albuquerque,New Mexico,144,4,2017
Anthony Echemendia,Sunnyside High School,Cabaiguan,Cuba,144,5,2017
Lachlan McNeil,Wyoming Seminary High School,Toronto,Ontario,144,6,2017
Ryan Jack,Danbury High School,Danbury,Connecticut,144,7,2017
Vance Vambaur,Windsor High School,Greeley,Colorado,144,8,2017
Caleb Henson,Woodland High School,Cartersville,Georgia,149,1,2017
Austin Gomez,Glenbard North High School,Carol Stream,Illinios,149,2,2017
Tyler Kasak,Happy Valley High School,Doylestown,Pennsylvania,149,3,2017
Ty Watters,West Allegheny High School,Imperial,Pennsylvania,149,4,2017
Kyle Parco,Fresno State High School,Danville,California,149,5,2017
Ridge Lovett,Post Falls High School,Post Falls,Idaho,149,6,2017
Casey Swiderski,Dundee High School,Dundee,Michigan,149,7,2017
Quinn Kinner,Kingsway High School,Mullica Hill,New Jersey,149,8,2017
Levi Haines,Biglerville High School,Arendtsville,Pennsylvania,157,1,2017
Jacori Teemer,Long Beach High School,Long Beach,New York,157,2,2017
Meyer Shapiro,Wyoming Seminary College Preparatory School,Woodbine,Maryland,157,3,2017
Daniel Cardenas,Pomona High School,Arvada,Colorado,157,4,2017
Peyten Kellar,Warren High School,Cutler,Ohio,157,5,2017
Bryce Andonian,St. Edward's High School,Kirtland,Ohio,157,6,2017
Peyton Robb,Owatonna High School,Owatonna,Minnesota,157,7,2017
Jared Franek,West Fargo High School,Harwood,North Dakota,157,8,2017
David Carr,Perry High School,Canton,Ohio,165,1,2017
Mitchell Mesenbrink,Arrowhead High School,Hartland,Wisconsin,165,2,2017
Keegan O'Toole,Arrowhead High School,Hartland,Wisconsin,165,3,2017
Mike Caliendo,Batavia High School,Geneva,Illinios,165,4,2017
Izzak Olejnik,Bakersfield High School,Bakersfield,California,165,5,2017
Hunter Garvin,Iowa City West High School,Iowa City,Iowa,165,6,2017
Peyton Hall,Oak Glen High School,Chester,West Virginia,165,7,2017
Antrell Taylor,Millard South High School,Millard,Nebraska,165,8,2017
Carter Starocci,Cathedral Preparatory School,Erie,Pennsylvania,174,1,2017
Rocco Welsh,Waynesburg Central High School,Waynesburg,Pennsylvania,174,2,2017
Shane Griffith,Bergen Catholic High School,Westwood,New Jersey,174,3,2017
Mekhi Lewis,Bound Brook High School,Somerset,New Jersey,174,4,2017
Cade DeVos,Southeast Polk High School,Altoona,Iowa,174,5,2017
Lennox Wolak,Coffman High School,Dublin,Ohio,174,6,2017
Edmond Ruth,"Susquehanna Township High School
",Harrisburg,Pennsylvania,174,7,2017
Benjamin Pasiuk,Carrollton High School,Carrollton,Ohio,174,8,2017
Parker Keckeisen,Nicolet High School,Glendale,Wisconsin,184,1,2017
Dustin Plott,Tuttle High School,Tuttle,Oklahoma,184,2,2017
Trey Munoz,Trabuco Hills High School,Mission Viejo,California,184,3,2017
Bennett Berge,Kason-Mantorville High School,Mantorville,Minnesota,184,4,2017
Bernie Truax,California State High School,Oceanside,California,184,5,2017
Isaiah Salazar,Windsor High School,Greeley,Colorado,184,6,2017
Thomas Sterwart Jr,Blair Academy High School,Triangle,Virginia,184,7,2017
David Key,Brookwood High School,Norcross,Georgia,184,8,2017
Aaron Brooks,North Hagerstown High School,Hagerstown,Maryland,197,1,2017
Trent Hidlay,Mifflin County High School,Lewistown,Pennsylvania,197,2,2017
Stephen Buchanan,Loyal High School,Loyal,Wisconsin,197,3,2017
Jacob Cardenas,Bergen Catholic High School,Kearny,New Jersey,197,4,2017
Tanner Sloan,Alburnett High School,Alburnett,Iowa,197,5,2017
Rocky Elam,Staley High School,Kansas City,Missouri,197,6,2017
Stephen Little,Union County High School,Sturgis,Kentucky,197,7,2017
